image_inference_id,inference_id,class_name,class_id,confidence,x1,y1,x2,y2
2,2,"['left-red', 'green', 'green']","[2, 0, 0]","[Decimal('0.86433'), Decimal('0.82834'), Decimal('0.78863')]","[Decimal('74.4432'), Decimal('147.98175'), Decimal('197.0587')]","[Decimal('171.69449'), Decimal('164.88708'), Decimal('172.01251')]","[Decimal('81.91772'), Decimal('156.21298'), Decimal('205.08611')]","[Decimal('202.74001'), Decimal('197.14493'), Decimal('204.14474')]"
3,3,[],[],[],[],[],[],[]
4,4,['left-red'],[2],[Decimal('0.85797')],[Decimal('208.38176')],[Decimal('199.88956')],[Decimal('214.57826')],[Decimal('230.33347')]
5,5,"['left-red', 'red', 'red']","[2, 4, 4]","[Decimal('0.85225'), Decimal('0.84234'), Decimal('0.84154')]","[Decimal('51.24099'), Decimal('127.26116'), Decimal('177.0034')]","[Decimal('173.59756'), Decimal('167.12248'), Decimal('173.74438')]","[Decimal('59.36975'), Decimal('135.52699'), Decimal('184.78908')]","[Decimal('204.92896'), Decimal('199.19084'), Decimal('206.27049')]"
6,6,"['left-red', 'red', 'red']","[2, 4, 4]","[Decimal('0.8467'), Decimal('0.84398'), Decimal('0.83245')]","[Decimal('52.07439'), Decimal('128.20851'), Decimal('178.46089')]","[Decimal('163.92252'), Decimal('158.92448'), Decimal('167.91736')]","[Decimal('59.83028'), Decimal('136.38254'), Decimal('185.44443')]","[Decimal('195.32721'), Decimal('191.63327'), Decimal('198.62244')]"
7,7,[],[],[],[],[],[],[]
8,8,"['green', 'left-red']","[0, 2]","[Decimal('0.81741'), Decimal('0.77638')]","[Decimal('134.97356'), Decimal('298.35782')]","[Decimal('129.00793'), Decimal('189.50417')]","[Decimal('148.42818'), Decimal('317.5578')]","[Decimal('174.41165'), Decimal('247.40361')]"
9,9,[],[],[],[],[],[],[]
10,10,"['red', 'red', 'red']","[4, 4, 4]","[Decimal('0.83495'), Decimal('0.83296'), Decimal('0.78692')]","[Decimal('134.53491'), Decimal('315.81665'), Decimal('251.93105')]","[Decimal('172.40555'), Decimal('125.52139'), Decimal('246.61572')]","[Decimal('142.87514'), Decimal('339.54688'), Decimal('261.18665')]","[Decimal('205.08289'), Decimal('216.76262'), Decimal('280.57416')]"
11,11,[],[],[],[],[],[],[]
12,12,"['left-red', 'left-red']","[2, 2]","[Decimal('0.87243'), Decimal('0.76265')]","[Decimal('66.09826'), Decimal('201.56744')]","[Decimal('119.80598'), Decimal('114.01026')]","[Decimal('84.82066'), Decimal('219.91954')]","[Decimal('148.47246'), Decimal('143.76924')]"
13,24,"['left-red', 'green', 'green']","[2, 0, 0]","[Decimal('0.86433'), Decimal('0.82834'), Decimal('0.78863')]","[Decimal('74.4432'), Decimal('147.98175'), Decimal('197.0587')]","[Decimal('171.69449'), Decimal('164.88708'), Decimal('172.01251')]","[Decimal('81.91772'), Decimal('156.21298'), Decimal('205.08611')]","[Decimal('202.74001'), Decimal('197.14493'), Decimal('204.14474')]"
14,25,[],[],[],[],[],[],[]
15,26,['left-red'],[2],[Decimal('0.85797')],[Decimal('208.38176')],[Decimal('199.88956')],[Decimal('214.57826')],[Decimal('230.33347')]
16,27,"['left-red', 'red', 'red']","[2, 4, 4]","[Decimal('0.85225'), Decimal('0.84234'), Decimal('0.84154')]","[Decimal('51.24099'), Decimal('127.26116'), Decimal('177.0034')]","[Decimal('173.59756'), Decimal('167.12248'), Decimal('173.74438')]","[Decimal('59.36975'), Decimal('135.52699'), Decimal('184.78908')]","[Decimal('204.92896'), Decimal('199.19084'), Decimal('206.27049')]"
17,28,"['left-red', 'red', 'red']","[2, 4, 4]","[Decimal('0.8467'), Decimal('0.84398'), Decimal('0.83245')]","[Decimal('52.07439'), Decimal('128.20851'), Decimal('178.46089')]","[Decimal('163.92252'), Decimal('158.92448'), Decimal('167.91736')]","[Decimal('59.83028'), Decimal('136.38254'), Decimal('185.44443')]","[Decimal('195.32721'), Decimal('191.63327'), Decimal('198.62244')]"
18,29,[],[],[],[],[],[],[]
19,30,"['green', 'left-red']","[0, 2]","[Decimal('0.81741'), Decimal('0.77638')]","[Decimal('134.97356'), Decimal('298.35782')]","[Decimal('129.00793'), Decimal('189.50417')]","[Decimal('148.42818'), Decimal('317.5578')]","[Decimal('174.41165'), Decimal('247.40361')]"
20,31,[],[],[],[],[],[],[]
21,32,"['red', 'red', 'red']","[4, 4, 4]","[Decimal('0.83495'), Decimal('0.83296'), Decimal('0.78692')]","[Decimal('134.53491'), Decimal('315.81665'), Decimal('251.93105')]","[Decimal('172.40555'), Decimal('125.52139'), Decimal('246.61572')]","[Decimal('142.87514'), Decimal('339.54688'), Decimal('261.18665')]","[Decimal('205.08289'), Decimal('216.76262'), Decimal('280.57416')]"
22,33,[],[],[],[],[],[],[]
23,34,"['left-red', 'left-red']","[2, 2]","[Decimal('0.87243'), Decimal('0.76265')]","[Decimal('66.09826'), Decimal('201.56744')]","[Decimal('119.80598'), Decimal('114.01026')]","[Decimal('84.82066'), Decimal('219.91954')]","[Decimal('148.47246'), Decimal('143.76924')]"
